Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,DRtg,NRtg,Pace,TS%,eFG%,OeFG%,Playoffs
2000,Atlanta Hawks,82,241.8,36.6,83,0.441,3.1,9.9,0.317,33.4,73.1,0.458,18,24.2,0.743,14,31.3,45.3,18.9,6.1,5.6,15.4,21,94.3,102,107.9,-5.9,91.7,0.503,0.46,0.481,N
2000,Boston Celtics,82,240.6,37.2,83.9,0.444,5.1,15.4,0.331,32.2,68.5,0.469,19.8,26.5,0.745,13.5,29.5,43,21.2,9.7,3.5,15.4,27.1,99.3,104.8,105.6,-0.8,94.6,0.52,0.474,0.498,N
2000,Charlotte Hornets,82,241.2,35.8,79.7,0.449,4.1,12.2,0.339,31.7,67.5,0.469,22.7,30,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,98.4,104.3,101.4,2.9,93.9,0.53,0.475,0.478,Y
2000,Chicago Bulls,82,241.5,31.3,75.4,0.415,4.1,12.6,0.329,27.1,62.8,0.432,18.1,25.5,0.709,12.6,28.3,40.9,20.1,7.9,4.7,19,23.3,84.8,94.2,104.6,-10.4,89.4,0.49,0.443,0.484,N
2000,Cleveland Cavaliers,82,242.1,36.3,82.1,0.442,4.2,11.2,0.373,32.1,70.9,0.453,20.2,26.9,0.75,12.3,30.5,42.8,23.7,8.7,4.4,17.4,27.1,97,100.4,104,-3.6,95.7,0.516,0.468,0.474,N
2000,Dallas Mavericks,82,240.6,39,85.9,0.453,6.3,16.2,0.391,32.6,69.8,0.468,17.2,21.4,0.804,11.4,29.8,41.2,22.1,7.2,5.1,13.7,21.6,101.4,106.6,107.2,-0.6,94.9,0.532,0.49,0.488,N
2000,Denver Nuggets,82,242.1,37.3,84.3,0.442,5.7,17,0.336,31.5,67.2,0.469,18.7,25.8,0.724,13.1,31.6,44.7,23.3,6.8,7.5,15.6,23.9,99,103.5,105.8,-2.3,94.7,0.517,0.476,0.479,N
2000,Detroit Pistons,82,241.8,37.1,80.9,0.459,5.4,14.9,0.359,31.8,66,0.481,23.9,30.6,0.781,11.2,30,41.2,20.8,8.1,3.3,15.7,24.5,103.5,107.3,105.8,1.5,95.7,0.548,0.492,0.499,Y
2000,Golden State Warriors,82,240.9,36.5,87.1,0.42,4.2,13,0.323,32.3,74,0.437,18.3,26.2,0.697,15.9,29.7,45.6,22.6,8.9,4.3,15.9,24.9,95.5,99.8,108.4,-8.6,95.4,0.484,0.444,0.499,N
2000,Houston Rockets,82,241.8,36.6,81.3,0.45,7.1,19.8,0.358,29.5,61.5,0.48,19.2,26.2,0.733,12.3,31.5,43.8,21.6,7.5,5.3,17.4,20.3,99.5,104.8,105.7,-0.9,94.2,0.536,0.494,0.481,N
2000,Indiana Pacers,82,240.6,37.2,81,0.459,7.1,18.1,0.392,30,62.8,0.478,19.9,24.5,0.811,10.3,31.9,42.1,22.6,6.8,5.1,14.1,21.8,101.3,108.5,103.6,4.9,93.1,0.552,0.503,0.469,Y
2000,Los Angeles Clippers,82,240.3,35.1,82.4,0.426,5.2,15.5,0.339,29.9,67,0.446,16.6,22.3,0.746,11.6,29,40.6,18,7,6,16.2,22.2,92,97.8,110.1,-12.3,93.9,0.499,0.458,0.507,N
2000,Los Angeles Lakers,82,241.5,38.3,83.4,0.459,4.2,12.8,0.329,34.1,70.6,0.482,20.1,28.9,0.696,13.6,33.4,47,23.4,7.5,6.5,13.9,22.5,100.8,107.3,98.2,9.1,93.3,0.525,0.484,0.443,Y
2000,Miami Heat,82,241.8,36.3,78.8,0.46,5.4,14.7,0.371,30.8,64.1,0.481,16.4,22.3,0.736,11.2,31.9,43.2,23.5,7.1,6.4,15,23.7,94.4,104.5,101,3.5,89.7,0.533,0.495,0.453,Y
2000,Milwaukee Bucks,82,242.1,38.7,83.3,0.465,4.8,13,0.369,33.9,70.2,0.483,19,24.2,0.786,12.4,28.9,41.3,22.6,8.2,4.6,15,24.6,101.2,108.2,107.9,0.3,92.7,0.539,0.494,0.496,Y
2000,Minnesota Timberwolves,82,242.7,39.3,84.3,0.467,3,8.7,0.346,36.3,75.5,0.481,16.8,21.6,0.78,12.4,30.1,42.5,26.9,7.6,5.4,13.9,23.3,98.5,106.1,103.4,2.7,91.8,0.525,0.485,0.474,Y
2000,New Jersey Nets,82,241.8,36.3,83.9,0.433,5.8,16.8,0.347,30.5,67.2,0.454,19.5,24.9,0.784,12.7,28.2,40.9,20.6,8.8,4.8,13.6,23.3,98,105.1,106.3,-1.2,92.5,0.517,0.468,0.491,N
2000,New York Knicks,82,241.8,35.3,77.7,0.455,4.3,11.4,0.375,31,66.3,0.468,17.2,22,0.781,9.8,30.7,40.5,19.4,6.3,4.3,14.6,24.2,92.1,102.5,100.9,1.6,89.2,0.527,0.482,0.455,Y
2000,Orlando Magic,82,240.9,38.6,85.5,0.452,3.6,10.6,0.338,35.1,74.9,0.468,19.2,26.1,0.735,14,31,44.9,20.8,9.1,5.7,17.6,24,100.1,102.4,101.7,0.7,97.3,0.516,0.473,0.476,N
2000,Philadelphia 76ers,82,241.8,36.5,82.6,0.442,2.5,7.8,0.323,34,74.8,0.454,19.2,27.1,0.708,14,30.1,44.1,22.2,9.6,4.7,15.7,23.6,94.8,101.5,100,1.5,92.7,0.501,0.457,0.466,Y
2000,Phoenix Suns,82,241.5,37.7,82.6,0.457,5.6,15.2,0.368,32.1,67.4,0.477,17.9,23.6,0.759,12.5,31.2,43.7,25.6,9.1,5.3,16.7,24.1,98.9,104.6,99,5.6,94,0.532,0.491,0.454,Y
2000,Portland Trail Blazers,82,241.2,36.8,78.4,0.47,5,13.8,0.361,31.9,64.7,0.493,18.8,24.7,0.76,11.8,31.2,43,23.5,7.7,4.8,15.2,22.7,97.5,107.9,100.8,7.1,89.9,0.546,0.501,0.461,Y
2000,Sacramento Kings,82,241.5,40,88.9,0.45,6.5,20.2,0.322,33.4,68.7,0.487,18.5,24.6,0.754,12.9,32.1,45,23.8,9.6,4.6,16.2,21.1,105,105,102.1,2.9,99.3,0.526,0.486,0.479,Y
2000,San Antonio Spurs,82,242.1,36,78,0.462,4,10.8,0.374,32,67.2,0.476,20.1,27,0.746,11.3,32.5,43.8,22.2,7.5,6.7,15,20.9,96.2,105,98.6,6.4,90.8,0.535,0.488,0.451,Y
2000,Seattle SuperSonics,82,241.2,37.9,84.7,0.447,6.7,19.6,0.339,31.2,65.1,0.48,16.6,23.9,0.695,12.7,30.3,43,22.9,8,4.2,14,21.7,99.1,105.6,104.6,1,93.4,0.52,0.487,0.483,Y
2000,Toronto Raptors,82,240.9,36.3,83.9,0.433,5.2,14.3,0.363,31.2,69.6,0.447,19.3,25.2,0.765,13.4,29.9,43.3,23.7,8.1,6.6,13.9,24.3,97.2,104.7,104.9,-0.2,92.5,0.511,0.464,0.48,Y
2000,Utah Jazz,82,240.9,36.1,77.8,0.464,4,10.4,0.385,32.1,67.4,0.476,20.3,26.2,0.773,11.4,29.6,41,24.9,7.7,5.4,14.9,24.5,96.5,107.3,102.3,5,89.6,0.54,0.49,0.477,Y
2000,Vancouver Grizzlies,82,242.1,35.3,78.5,0.449,4,11,0.361,31.3,67.6,0.463,19.4,25.1,0.774,12.3,28.3,40.6,20.7,7.4,4.2,16.8,22.9,93.9,102.3,108.5,-6.2,91,0.524,0.474,0.502,N
2000,Washington Wizards,82,241.5,36.7,81.5,0.451,4.1,10.9,0.376,32.6,70.6,0.462,19.1,25.7,0.743,13,29.7,42.7,21.6,7.2,4.7,16.1,26.2,96.6,103.5,107,-3.5,92.7,0.521,0.476,0.489,N
2001,Atlanta Hawks,82,240.6,35.1,81.3,0.431,4.1,11.4,0.357,31,69.9,0.443,16.8,22.1,0.759,12.5,30.4,42.9,19,7.7,4.7,16.7,22.7,91,98.7,104.3,-5.6,91.9,0.5,0.456,0.472,N
2001,Boston Celtics,82,241.8,33.8,79.1,0.428,7.2,19.9,0.363,26.6,59.2,0.45,19.8,26.7,0.74,10.9,28.9,39.8,20.8,9.4,4.1,15.7,23.8,94.6,101.4,103.7,-2.3,92.6,0.521,0.473,0.493,N
2001,Charlotte Hornets,82,242.4,34.1,79.3,0.431,4.1,12,0.346,30,67.3,0.446,19.5,26.2,0.745,12.6,31.8,44.4,23.2,8.1,5.5,14.4,21.4,91.9,101.8,99.5,2.3,89.4,0.506,0.457,0.456,Y
2001,Chicago Bulls,82,242.1,33.2,78.2,0.424,4,11.6,0.346,29.2,66.6,0.438,17.2,23.3,0.739,11.3,27.6,38.9,22.1,8.2,4.6,15.8,23.2,87.6,97.2,107.3,-10.1,89.3,0.495,0.45,0.499,N
2001,Cleveland Cavaliers,82,241.8,35.2,79.7,0.442,2.7,8,0.334,32.6,71.6,0.455,19,24.9,0.765,12.4,29.8,42.1,20.8,7.8,5.3,16.5,23.2,92.2,100.3,104.9,-4.6,91.2,0.509,0.459,0.477,N
2001,Dallas Mavericks,82,241.5,37.6,81.9,0.459,6.3,16.5,0.381,31.3,65.4,0.479,18.9,23.8,0.794,10.1,31.4,41.5,21.2,7.5,6,13.9,23.3,100.5,107.1,102.6,4.5,93.2,0.544,0.498,0.467,Y
2001,Denver Nuggets,82,241.2,36.3,83.9,0.433,6.2,17.6,0.355,30.1,66.3,0.454,17.7,24,0.737,12.7,31.5,44.2,24,6.7,6.6,13.9,22.2,96.6,103.7,106.3,-2.6,92.6,0.511,0.47,0.476,N
2001,Detroit Pistons,82,242.1,35.6,83.9,0.424,4.7,13.6,0.35,30.9,70.3,0.439,19.6,27.2,0.721,13.5,32,45.5,19.9,7.5,5.5,15.9,23.8,95.6,100,101.8,-1.8,94.7,0.498,0.453,0.466,N
2001,Golden State Warriors,82,241.2,35.8,87.5,0.409,3.4,11.8,0.293,32.4,75.7,0.427,17.4,24.7,0.706,16.4,29.1,45.5,21.8,9,5,15.9,21.1,92.5,97.8,107.4,-9.6,94.1,0.47,0.429,0.504,N
2001,Houston Rockets,82,241.8,35.9,79.2,0.453,6.1,17.2,0.357,29.7,62,0.48,19.3,25.4,0.758,11.2,30.8,42,19.7,7.2,4.4,14.7,20.2,97.2,106.7,104.2,2.5,90.4,0.538,0.492,0.475,N
2001,Indiana Pacers,82,243.7,34.5,78.4,0.44,4.8,14.1,0.342,29.7,64.3,0.461,18.8,24.5,0.766,11.2,31.6,42.9,21.5,6.9,5.9,15.2,23.5,92.6,102,102.2,-0.2,89.4,0.519,0.471,0.452,Y
2001,Los Angeles Clippers,82,244.3,35.3,78.9,0.448,4.4,13,0.339,30.9,65.9,0.469,17.4,25.1,0.693,11.7,31.2,42.9,19.3,6,6.3,15.8,21.6,92.5,101.3,104.5,-3.2,89.6,0.514,0.476,0.466,N
2001,Los Angeles Lakers,82,242.7,37.9,81.5,0.465,5.4,15.5,0.344,32.6,66,0.494,19.4,28.5,0.683,13.2,31.5,44.7,23,6.9,6,14.4,22.8,100.6,108.4,104.8,3.6,91.7,0.535,0.498,0.468,Y
2001,Miami Heat,82,242.4,32.9,76.3,0.43,5.8,16.9,0.345,27,59.4,0.455,17.4,22.9,0.759,9.9,29.7,39.6,19.9,7.7,3.7,13.7,21,88.9,101.1,98.5,2.6,87.1,0.515,0.469,0.46,Y
2001,Milwaukee Bucks,82,241.2,38,82.9,0.458,6.9,18.1,0.379,31.1,64.8,0.48,18,22.9,0.787,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7,108.8,104.6,4.2,92.1,0.542,0.499,0.473,Y
2001,Minnesota Timberwolves,82,241.8,38.4,83.8,0.458,3.9,11,0.357,34.5,72.8,0.473,16.6,21.2,0.785,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3,105.2,103.7,1.5,91.8,0.523,0.482,0.478,Y
2001,New Jersey Nets,82,240.6,33.9,79.9,0.425,4.4,13.2,0.333,29.5,66.7,0.443,19.9,26.2,0.759,11.1,28.5,39.6,19.5,7.9,5,14.7,24.2,92.1,100,105.5,-5.5,91.8,0.504,0.452,0.488,N
2001,New York Knicks,82,242.7,33.6,75.6,0.444,4.8,13.6,0.351,28.8,62,0.465,16.8,21.1,0.796,9.4,30.8,40.2,18.5,6.6,4.2,14.5,22.7,88.7,101.2,98.2,3,86.7,0.523,0.476,0.453,Y
2001,Orlando Magic,82,243.4,36.7,83.8,0.438,6,16.4,0.364,30.8,67.4,0.456,18,25.2,0.714,13,29.9,42.9,22,8.2,5.9,15.2,25.3,97.5,103.2,102.1,1.1,93.2,0.513,0.474,0.464,Y
