Year,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,NRtg,Pace,TS%,eFG%,OeFG%,Playoffs
2005,Atlanta Hawks,82,242.1,35.9,81.4,0.441,3.7,11.9,0.312,32.2,69.5,0.463,17.3,24.3,0.711,13.4,28.5,41.9,19.7,7.7,4.2,16.1,24.5,92.7,100.6,111.1,-10.5,91.4,0.504,0.464,0.513,N
2005,Boston Celtics*,82,242.4,37.1,79.4,0.468,5.3,15.3,0.349,31.8,64.1,0.496,21.6,28.3,0.764,11.1,29.7,40.8,22.1,8.1,5.2,15.8,24.4,101.3,107.5,106.6,0.9,93.3,0.551,0.501,0.481,Y
2005,Charlotte Bobcats,82,242.4,36.1,83.6,0.432,3.9,10.7,0.363,32.2,72.9,0.442,18.1,25.6,0.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,94.3,101.1,107.5,-6.4,92.3,0.497,0.455,0.497,N
2005,Chicago Bulls*,82,241.8,34.7,80.4,0.432,6.2,17.5,0.357,28.5,62.9,0.453,18.7,25,0.75,12.2,31.6,43.8,21.3,7,4.5,16.7,24.7,94.5,101.4,100.3,1.1,92.4,0.517,0.471,0.454,Y
2005,Cleveland Cavaliers,82,242.1,36.5,81.5,0.447,3.7,11,0.332,32.8,70.5,0.465,19.9,26.5,0.752,13.6,28.7,42.3,22.6,8,5.6,13.9,22.6,96.5,106.6,105.7,0.9,89.7,0.518,0.47,0.485,N
2005,Dallas Mavericks*,82,240.6,37.3,81.6,0.457,5.6,15.5,0.364,31.6,66.1,0.479,22.3,28.2,0.789,12.1,30.9,42.9,19.6,8.6,5.6,13.4,22.3,102.5,110.3,104.1,6.2,92.7,0.545,0.492,0.472,Y
2005,Denver Nuggets*,82,240.9,37,80.7,0.459,3.9,11.5,0.34,33.1,69.2,0.479,21.5,28.2,0.763,11.8,30.2,42,23.9,9.1,6,14.9,22.9,99.5,106,103.9,2.1,93.5,0.535,0.483,0.482,Y
2005,Detroit Pistons*,82,243.4,34.8,78.3,0.444,4.4,12.8,0.345,30.3,65.5,0.463,19.4,26.2,0.739,12.9,30.6,43.4,21.8,7,6.1,13.8,20,93.3,105.6,101.2,4.4,87.2,0.519,0.472,0.461,Y
2005,Golden State Warriors,82,242.7,36.9,85.8,0.43,7.6,21.6,0.352,29.3,64.2,0.457,17.2,23.8,0.722,13,29.7,42.7,22.1,7.8,5.1,13.6,22.4,98.7,104.7,106.9,-2.2,93.3,0.512,0.475,0.491,N
2005,Houston Rockets*,82,242.1,34.7,78.3,0.443,6.7,18.5,0.364,28,59.7,0.468,18.9,24.2,0.781,10.7,31.7,42.4,21.1,6.9,4.6,13.8,22,95.1,106.2,101.7,4.5,88.8,0.534,0.486,0.459,Y
